legacy_module,legacy_tool,responsibility,current_equivalent,current_owner,gap,decision,target_owner,migration_risk,replacement_evidence,source
unity_addressables_mcp,addressables.apply_entry,承認済みPlanをAddressables Public APIで適用します。自動SaveやContent Buildは行いません。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,Content Skill + deterministic Addressables tool,high: mutation/approval or execution authority,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Addressables/UnityAddressablesMcp.cs
unity_addressables_mcp,addressables.get_support_matrix,Package導入状態とAddressablesMCPの実装・非対象範囲を取得します。,"Candidate for specialist Skill, policy, or static contract; not an executable replacement",UnityAgent / legacy adapter,Knowledge extraction and contract review pending,KNOWLEDGE,Content Skill + deterministic Addressables tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Addressables/UnityAddressablesMcp.cs
unity_addressables_mcp,addressables.inspect,Addressables Package、Settings、Profile、GroupをRead-onlyで取得します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,Content Skill + deterministic Addressables tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Addressables/UnityAddressablesMcp.cs
unity_addressables_mcp,addressables.prepare_entry,Asset GUID、Group、Address、Labelを検証し、承認待ちEntry Mutation Planを作成します。,Legacy MyUnityMCP adapter remains active; exact independent equivalent unverified,UnityAgent / legacy adapter,Independent implementation and live evidence pending,PORT,Content Skill + deterministic Addressables tool,medium: behavior or evidence parity,UnityAgent: Runtime/Tooling/Providers/MyUnityMcp/capability_mapper.py (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Addressables/UnityAddressablesMcp.cs
unity_agent_mcp,agent.cancel_execution,Running中のAgent Executionを次の安全なStep境界より前に協調Cancelします。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,UnityAgent Control Plane,high: mutation/approval or execution authority,UnityAgent: Orchestration/; Runtime/; Persistence/; Operations/ (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Agent/UnityAgentMcpTools.cs
unity_agent_mcp,agent.compile_graph,検証済みWorkflowをProduct Runtime GraphへCompileします。Unity状態は変更しません。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,UnityAgent Control Plane,medium: behavior or evidence parity,UnityAgent: Orchestration/; Runtime/; Persistence/; Operations/ (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Agent/UnityAgentMcpTools.cs
unity_agent_mcp,agent.get_error_catalog,Agent Control Planeの構造化Error Catalogを取得します。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,UnityAgent Control Plane,medium: behavior or evidence parity,UnityAgent: Orchestration/; Runtime/; Persistence/; Operations/ (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Agent/UnityAgentMcpTools.cs
unity_agent_mcp,agent.get_execution_history,永続化済みAgent Execution Historyを取得します。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,UnityAgent Control Plane,high: mutation/approval or execution authority,UnityAgent: Orchestration/; Runtime/; Persistence/; Operations/ (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Agent/UnityAgentMcpTools.cs
unity_agent_mcp,agent.get_execution_status,Agent Executionの現在状態とStep Resultを取得します。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,UnityAgent Control Plane,high: mutation/approval or execution authority,UnityAgent: Orchestration/; Runtime/; Persistence/; Operations/ (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Agent/UnityAgentMcpTools.cs
unity_agent_mcp,agent.inspect_capabilities,利用可能なDomain、Tool Group、実行可否をCatalogからRead-onlyで取得します。,UnityAgent-owned orchestration/runtime boundary; semantic parity requires trace review,UnityAgent / legacy adapter,Remove only after active legacy references reach zero,RETIRE,UnityAgent Control Plane,medium: behavior or evidence parity,UnityAgent: Orchestration/; Runtime/; Persistence/; Operations/ (static path only; live replacement not verified),Legacy/MyUnityMCP-1.1.1/Package/Editor/Operational/Agent/UnityAgentMcpTools.cs
